age,income,loan_amount,loan_approved,education,gender,credit_score,employment_status
49.0,81742.37,14323.57,No,Bachelors,Female,740.0,Employed
37.0,43051.5,11402.34,Yes,Bachelors,Female,769.0,Employed
39.0,70340.41,13017.04,Yes,High School,Male,711.0,Employed
35.0,53906.96,14157.7,Yes,Masters,Female,759.0,Employed
46.0,83376.02,18056.19,Yes,Bachelors,Male,703.0,Employed
46.0,23711.86,14141.9,No,High School,Female,738.0,Employed
41.0,84237.78,9640.55,Yes,PhD,Female,663.0,Employed
44.0,33644.87,,Yes,High School,Male,791.0,Employed
36.0,65801.19,16556.78,Yes,Masters,Female,806.0,Employed
43.0,55821.64,21805.06,No,Bachelors,Male,729.0,Employed
35.0,62785.94,9537.46,Yes,Masters,Male,803.0,Employed
38.0,39412.18,13732.01,Yes,Masters,Male,743.0,Employed
35.0,,15954.35,No,Bachelors,Female,715.0,Employed
33.0,44268.74,18289.65,Yes,Bachelors,Male,697.0,Employed
31.0,45846.93,5562.76,Yes,Masters,Female,813.0,Employed
43.0,105896.41,5711.35,Yes,PhD,Female,712.0,Employed
51.0,76454.03,11693.22,No,Masters,Male,,Self-Employed
50.0,44914.87,17734.12,No,High School,Female,766.0,Employed
25.0,67424.25,11635.8,Yes,PhD,Female,739.0,Employed
51.0,65285.41,14365.19,Yes,High School,Female,705.0,Employed
35.0,36246.98,15259.26,Yes,Masters,Male,767.0,Employed
44.0,54834.75,10858.36,Yes,High School,Female,,Employed
29.0,69472.39,22321.02,Yes,High School,Male,716.0,Employed
39.0,95328.36,11024.68,Yes,Bachelors,Male,722.0,Unemployed
41.0,66223.4,4674.42,Yes,Masters,Female,713.0,Employed
23.0,67727.1,10088.25,No,Masters,Female,762.0,Employed
44.0,53696.67,10832.2,No,Bachelors,Male,678.0,Employed
51.0,91917.82,15868.25,Yes,High School,Female,714.0,Self-Employed
36.0,88046.44,16125.15,Yes,PhD,Female,845.0,Employed
52.0,85786.7,17933.95,Yes,Bachelors,Female,756.0,Employed
36.0,72236.78,24397.2,Yes,Bachelors,Male,770.0,Employed
46.0,38028.53,15141.86,Yes,Masters,Male,715.0,Employed
16.0,91733.4,19222.52,No,Masters,Female,789.0,Self-Employed
62.0,71146.59,12774.95,Yes,Bachelors,Male,641.0,Employed
53.0,63828.17,16447.78,Yes,Masters,Male,776.0,Self-Employed
35.0,78969.18,13256.88,Yes,Bachelors,Female,708.0,Employed
18.0,74483.79,14253.46,Yes,Bachelors,Male,686.0,Employed
41.0,48616.04,15831.75,Yes,PhD,Female,683.0,Employed
24.0,63584.04,19919.49,No,Masters,Male,716.0,Employed
42.0,31918.14,14730.83,Yes,High School,Female,769.0,Employed
42.0,71720.53,14717.02,Yes,Bachelors,Male,659.0,Self-Employed
,96602.56,16567.49,Yes,Bachelors,Male,795.0,Employed
49.0,,19392.96,No,Bachelors,Female,670.0,Employed
46.0,72572.56,7959.78,Yes,Masters,Female,702.0,Self-Employed
48.0,83369.57,16219.56,No,High School,Female,,Employed
38.0,86327.14,8344.55,Yes,PhD,Female,722.0,Unemployed
24.0,55076.2,21546.05,No,Masters,Female,687.0,Employed
48.0,47955.39,16693.73,Yes,Bachelors,Female,691.0,Self-Employed
35.0,58258.96,21132.93,Yes,Bachelors,Female,659.0,Employed
24.0,93817.42,6675.82,Yes,PhD,Male,727.0,Employed
52.0,35808.89,14155.6,No,High School,Male,653.0,Employed
,45680.66,19351.78,Yes,Bachelors,Male,705.0,Employed
38.0,60824.61,22020.68,No,High School,Female,,Employed
60.0,50486.58,16752.22,Yes,Masters,Female,666.0,Employed
39.0,69166.55,12861.86,No,High School,Female,683.0,Employed
34.0,98290.52,13650.38,Yes,Bachelors,Male,677.0,Employed
32.0,45923.63,9789.28,Yes,Bachelors,Male,742.0,Employed
54.0,67072.68,22313.9,Yes,PhD,Male,692.0,Employed
30.0,69834.98,18256.5,No,Bachelors,Female,786.0,Employed
45.0,63308.28,14103.55,Yes,High School,Male,686.0,Self-Employed
32.0,38431.5,17719.68,Yes,Bachelors,Female,711.0,Employed
33.0,57243.49,14447.73,No,Masters,Male,693.0,Employed
48.0,57303.27,13493.28,Yes,Masters,Female,714.0,Employed
34.0,82670.08,11222.92,No,Bachelors,Female,719.0,Employed
34.0,78391.59,11310.41,No,Bachelors,Male,717.0,Employed
49.0,38962.09,16903.41,Yes,Masters,Male,752.0,Employed
54.0,62257.27,20237.69,Yes,Bachelors,Male,723.0,Unemployed
44.0,59994.9,13317.98,Yes,Bachelors,Male,732.0,Self-Employed
31.0,109093.91,11035.81,Yes,Bachelors,Female,780.0,Employed
,75846.26,19762.28,Yes,Masters,Female,705.0,Self-Employed
39.0,48451.23,15395.19,No,Masters,Female,784.0,Self-Employed
41.0,54464.04,3838.66,Yes,Bachelors,Female,728.0,Employed
28.0,62429.09,11473.67,No,PhD,Male,586.0,Employed
45.0,77247.35,17342.84,Yes,Masters,Male,730.0,Employed
39.0,79698.42,11051.33,No,Masters,Male,791.0,Employed
21.0,74009.65,15255.94,No,PhD,Male,750.0,Employed
29.0,65804.7,8778.78,No,High School,Male,714.0,Employed
33.0,67279.99,12942.77,No,Bachelors,Female,693.0,Employed
37.0,67420.62,9565.48,Yes,High School,Male,802.0,Employed
57.0,34341.8,8841.63,No,Masters,Male,724.0,Employed
40.0,68774.17,11206.79,Yes,High School,Female,661.0,Employed
30.0,58454.92,19363.17,No,High School,Female,726.0,Self-Employed
40.0,,17084.69,Yes,Bachelors,Male,677.0,Employed
34.0,118357.65,25259.12,Yes,Masters,Female,603.0,Unemployed
41.0,76226.07,12011.19,Yes,High School,Male,721.0,Employed
44.0,70262.07,20095.94,Yes,PhD,Female,723.0,Employed
50.0,62577.44,24291.04,No,Bachelors,Male,703.0,Employed
38.0,84604.45,20589.8,Yes,High School,Male,703.0,Employed
54.0,46753.99,20678.53,Yes,Bachelors,Male,727.0,Employed
47.0,63745.91,15604.0,Yes,PhD,Male,686.0,Employed
31.0,50956.58,16157.46,Yes,Masters,Male,664.0,Self-Employed
60.0,84431.26,10394.5,Yes,Bachelors,Male,655.0,Self-Employed
41.0,53465.18,1639.73,Yes,PhD,Male,700.0,Self-Employed
30.0,92026.56,16021.93,Yes,Masters,Female,733.0,Self-Employed
55.0,68014.49,10202.4,Yes,Masters,Female,608.0,Self-Employed
59.0,85489.8,12874.58,Yes,Masters,Female,744.0,Self-Employed
38.0,77997.18,10869.61,No,Masters,Female,705.0,Employed
33.0,91184.9,16620.36,Yes,High School,Male,690.0,Employed
36.0,51296.47,14001.97,Yes,Masters,Female,794.0,Employed
45.0,88112.46,21286.94,Yes,PhD,Male,778.0,Unemployed
51.0,32748.23,11384.06,No,Bachelors,Male,747.0,Employed
44.0,70862.54,15902.87,Yes,Bachelors,Female,668.0,Employed
39.0,59081.56,14044.48,Yes,Bachelors,Male,780.0,Employed
53.0,41909.17,13528.89,No,High School,Male,668.0,Employed
,52129.56,14614.97,No,Masters,Male,705.0,Employed
48.0,57186.89,22602.48,No,Bachelors,Male,732.0,Employed
35.0,66068.97,19215.44,Yes,Bachelors,Female,615.0,Employed
42.0,59503.01,12718.47,Yes,High School,Female,732.0,Employed
37.0,71600.52,11946.22,No,Masters,Female,678.0,Self-Employed
37.0,53396.83,11088.27,No,PhD,Male,697.0,Employed
34.0,60462.85,15578.23,No,Bachelors,Male,661.0,Employed
51.0,64218.68,7419.14,Yes,Bachelors,Female,773.0,Employed
31.0,73641.92,13922.38,Yes,Bachelors,Female,702.0,Unemployed
31.0,86976.95,16910.33,No,High School,Male,720.0,Self-Employed
59.0,87073.26,11372.73,Yes,PhD,Female,801.0,Employed
48.0,74749.68,15203.25,Yes,Bachelors,Male,768.0,Self-Employed
14.0,78605.06,16327.0,No,Masters,Female,723.0,Self-Employed
32.0,76237.34,6189.02,No,Masters,Female,684.0,Employed
20.0,63707.16,16032.14,Yes,Bachelors,Male,,Employed
,88011.66,12705.68,Yes,PhD,Male,742.0,Unemployed
7.0,51710.38,24237.4,Yes,High School,Female,673.0,Employed
37.0,29037.09,15990.55,Yes,Bachelors,Male,626.0,Employed
27.0,49170.21,10405.48,Yes,Bachelors,Male,681.0,Employed
39.0,98062.42,5914.75,No,Bachelors,Male,740.0,Employed
22.0,64091.34,14752.18,No,Bachelors,Male,689.0,Employed
39.0,75482.58,21530.38,Yes,High School,Male,772.0,Employed
34.0,64521.0,11974.68,Yes,Bachelors,Female,687.0,Employed
53.0,81233.31,16573.03,No,Bachelors,Female,710.0,Employed
52.0,71414.25,,Yes,Bachelors,Female,682.0,Employed
46.0,68628.16,18439.25,Yes,PhD,Female,713.0,Employed
35.0,82275.57,14979.76,Yes,Bachelors,Male,664.0,Employed
58.0,60686.44,11708.75,Yes,Masters,Female,785.0,Employed
22.0,77441.56,13701.64,Yes,High School,Female,769.0,Employed
24.0,66505.57,9650.91,Yes,High School,Female,653.0,Employed
37.0,67851.47,,No,High School,Female,772.0,Employed
61.0,53628.05,19948.63,Yes,Bachelors,Female,790.0,Employed
36.0,65680.89,16675.63,Yes,Bachelors,Male,749.0,Self-Employed
36.0,59175.15,16438.14,Yes,Masters,Female,780.0,Employed
24.0,92598.4,11413.39,No,High School,Female,,Employed
47.0,36318.57,20986.46,Yes,Bachelors,Male,752.0,Employed
48.0,87785.2,13837.82,No,Bachelors,Male,744.0,Employed
46.0,35114.85,15656.12,Yes,Bachelors,Female,674.0,Employed
32.0,80744.31,20824.3,Yes,Masters,Female,763.0,Employed
31.0,53245.4,11386.55,Yes,High School,Female,738.0,Employed
25.0,81326.45,,Yes,Masters,Female,667.0,Employed
39.0,67572.82,20167.93,Yes,High School,Female,639.0,Unemployed
27.0,41352.93,19069.58,Yes,Bachelors,Female,733.0,Self-Employed
26.0,97172.37,16718.3,Yes,Bachelors,Male,713.0,Employed
34.0,85532.93,4111.28,No,High School,Female,658.0,Employed
33.0,80063.51,21395.6,No,High School,Male,781.0,Employed
33.0,57192.61,11950.05,Yes,Masters,Male,743.0,Employed
43.0,86221.69,12100.42,No,Bachelors,Male,743.0,Employed
39.0,44334.97,13999.43,Yes,High School,Female,728.0,Employed
35.0,25447.08,9010.67,No,Masters,Female,659.0,Employed
40.0,38753.48,21092.33,Yes,High School,Male,1100.0,Self-Employed
28.0,51560.24,15861.08,Yes,Masters,Male,781.0,Employed
39.0,54903.26,18496.9,No,Bachelors,Male,731.0,Employed
40.0,61303.13,11127.03,Yes,Masters,Male,667.0,Employed
23.0,62191.34,19933.09,No,Masters,Male,715.0,Employed
48.0,57003.23,22118.43,Yes,Bachelors,Male,745.0,Self-Employed
29.0,27673.7,8627.38,Yes,High School,Female,694.0,Unemployed
39.0,73842.47,9375.03,Yes,Masters,Male,730.0,Employed
,64706.5,10973.96,Yes,Masters,Female,772.0,Employed
47.0,56073.13,19623.75,No,Bachelors,Male,807.0,Self-Employed
38.0,97960.43,15904.99,No,Masters,Male,630.0,Employed
34.0,65156.69,14668.73,Yes,Bachelors,Female,765.0,Self-Employed
47.0,71170.63,16836.33,Yes,PhD,Male,745.0,Employed
45.0,85917.0,24660.71,Yes,Masters,Female,736.0,Employed
32.0,40202.78,6271.33,Yes,Masters,Female,676.0,Self-Employed
30.0,69547.8,13450.33,No,Masters,Female,742.0,Self-Employed
17.0,85850.96,-381.92,No,High School,Male,694.0,Employed
40.0,68173.42,17533.1,Yes,Bachelors,Female,742.0,Self-Employed
37.0,43933.15,20435.05,Yes,Masters,Female,743.0,Employed
49.0,60350.49,13466.69,Yes,High School,Male,783.0,Employed
42.0,73779.73,18263.9,Yes,High School,Male,760.0,Employed
51.0,27862.44,7320.25,Yes,Bachelors,Male,625.0,Self-Employed
31.0,42946.78,17393.28,Yes,High School,Female,722.0,Employed
49.0,109470.74,27273.37,Yes,Masters,Female,786.0,Self-Employed
33.0,79691.8,13090.15,Yes,Bachelors,Female,646.0,Employed
46.0,99669.41,17087.38,Yes,Masters,Female,714.0,Employed
23.0,87326.35,12050.38,Yes,Bachelors,Female,737.0,Employed
40.0,77879.67,15879.94,Yes,PhD,Female,607.0,Employed
18.0,63818.42,20538.78,Yes,Masters,Male,737.0,Employed
35.0,77624.28,17996.21,No,High School,Male,689.0,Employed
42.0,98999.28,14488.29,No,Bachelors,Female,728.0,Employed
33.0,86510.78,14405.46,Yes,Bachelors,Male,731.0,Self-Employed
27.0,73336.21,8991.86,No,PhD,Female,707.0,Unemployed
46.0,66553.06,20090.73,No,Bachelors,Female,720.0,Employed
37.0,79966.47,18745.7,No,Masters,Female,668.0,Employed
33.0,59359.15,8722.81,No,Bachelors,Male,714.0,Employed
38.0,79969.49,15879.43,Yes,Masters,Female,691.0,Employed
64.0,56040.89,,No,High School,Female,739.0,Employed
50.0,62921.58,12722.27,Yes,High School,Male,722.0,Unemployed
50.0,49445.89,19058.05,Yes,Bachelors,Male,667.0,Self-Employed
42.0,61204.74,19948.16,Yes,PhD,Male,681.0,Employed
40.0,56325.45,18555.69,Yes,Masters,Male,680.0,Unemployed
14.0,103838.31,13646.87,Yes,Bachelors,Female,716.0,Self-Employed
31.0,52110.08,17302.79,No,Bachelors,Male,726.0,Employed
33.0,77696.71,11137.06,Yes,High School,Male,715.0,Unemployed
19.0,51062.35,18763.88,No,Masters,Female,727.0,Employed
26.0,70937.92,14908.67,Yes,High School,Female,692.0,Employed
18.0,75798.31,,No,Masters,Male,680.0,Employed
38.0,32977.93,11355.99,Yes,Masters,Female,651.0,Unemployed
46.0,42045.97,18392.2,Yes,PhD,Male,702.0,Employed
49.0,50906.54,14315.57,Yes,Bachelors,Male,689.0,Employed
42.0,43935.26,12552.04,No,Masters,Male,835.0,Employed
28.0,71681.7,12532.9,Yes,Masters,Male,821.0,Employed
19.0,74851.6,8783.32,Yes,High School,Female,744.0,Employed
20.0,48738.56,15832.63,Yes,PhD,Male,675.0,Employed
25.0,72483.97,16436.63,Yes,Masters,Male,716.0,Self-Employed
29.0,61518.43,7591.62,Yes,Masters,Female,733.0,Self-Employed
36.0,68010.48,9619.75,Yes,High School,Female,610.0,Employed
28.0,,6759.23,Yes,Bachelors,Male,719.0,Employed
41.0,79753.13,21023.08,Yes,Masters,Female,653.0,Employed
36.0,102698.59,18091.68,Yes,PhD,Female,703.0,Employed
38.0,85486.68,20519.97,Yes,Masters,Female,677.0,Employed
49.0,97867.82,23101.35,No,Bachelors,Female,715.0,Employed
26.0,41943.5,17196.22,Yes,Masters,Female,698.0,Employed
42.0,56485.82,14699.59,No,High School,Male,730.0,Employed
38.0,81304.72,15976.08,Yes,Masters,Female,757.0,Employed
35.0,100165.88,11776.35,No,Bachelors,Male,748.0,Employed
47.0,83008.81,10982.11,Yes,Masters,Female,813.0,Employed
47.0,49475.52,12897.56,Yes,Bachelors,Male,697.0,Employed
29.0,61306.85,13759.35,Yes,Bachelors,Female,790.0,Employed
36.0,76668.09,6699.04,Yes,Bachelors,Female,669.0,Employed
41.0,66706.81,8817.88,Yes,Masters,Female,632.0,Self-Employed
35.0,54024.55,8648.46,Yes,High School,Female,747.0,Self-Employed
44.0,64194.91,8438.92,Yes,Bachelors,Female,795.0,Self-Employed
41.0,69711.28,18186.58,Yes,PhD,Male,679.0,Self-Employed
56.0,48301.57,,Yes,High School,Male,746.0,Employed
23.0,89690.18,14036.18,Yes,Masters,Female,680.0,Employed
37.0,61207.7,16913.94,Yes,Masters,Female,775.0,Employed
29.0,68548.48,19114.17,No,Bachelors,Female,772.0,Employed
44.0,90701.05,17278.24,Yes,Masters,Female,738.0,Employed
22.0,67500.03,23188.6,No,Masters,Male,,Employed
41.0,89607.18,,Yes,PhD,Male,740.0,Employed
32.0,49415.98,,Yes,Bachelors,Male,636.0,Employed
31.0,78659.12,11973.75,Yes,High School,Male,720.0,Self-Employed
24.0,86786.45,5528.87,No,Bachelors,Female,680.0,Employed
33.0,53402.64,15394.95,Yes,Masters,Female,725.0,Unemployed
49.0,66432.61,19319.42,Yes,Bachelors,Female,722.0,Employed
38.0,66846.49,11288.57,Yes,High School,Female,727.0,Employed
44.0,74192.78,12446.02,Yes,Masters,Female,643.0,Unemployed
55.0,79496.03,19801.83,Yes,High School,Male,661.0,Employed
41.0,51775.88,14755.06,Yes,Masters,Male,809.0,Employed
32.0,68798.9,10383.28,No,Masters,Female,762.0,Employed
43.0,101826.36,10210.31,No,PhD,Female,735.0,Self-Employed
33.0,91077.54,18281.52,No,High School,Female,643.0,Self-Employed
33.0,85876.88,14344.14,Yes,Masters,Female,735.0,Employed
23.0,66144.41,14273.31,No,Masters,Female,738.0,Employed
47.0,112576.62,8101.43,Yes,Bachelors,Female,698.0,Employed
34.0,90596.28,17385.04,Yes,Bachelors,Male,661.0,Employed
40.0,70748.38,20162.39,Yes,Bachelors,Female,687.0,Self-Employed
28.0,74408.21,13187.93,Yes,Bachelors,Female,770.0,Employed
42.0,60823.01,17046.63,Yes,PhD,Female,758.0,Employed
30.0,77867.43,12965.6,Yes,Masters,Male,769.0,Employed
37.0,81861.5,17969.31,Yes,PhD,Male,748.0,Employed
47.0,84052.16,17469.24,Yes,Masters,Female,674.0,Self-Employed
46.0,66386.32,13078.46,Yes,Bachelors,Male,636.0,Self-Employed
38.0,40526.01,4363.73,Yes,PhD,Male,717.0,Employed
20.0,74835.77,11002.72,Yes,Bachelors,Male,768.0,Employed
68.0,84135.87,16723.07,Yes,Masters,Male,770.0,Employed
55.0,50428.93,19419.89,No,Bachelors,Female,668.0,Employed
45.0,68183.35,11976.32,Yes,Masters,Male,737.0,Unemployed
30.0,96829.32,21722.65,Yes,Bachelors,Male,684.0,Self-Employed
37.0,45930.5,22468.93,No,Bachelors,Female,706.0,Self-Employed
33.0,64325.31,18491.69,Yes,Bachelors,Male,656.0,Unemployed
51.0,99742.78,9320.06,Yes,High School,Female,755.0,Unemployed
41.0,73154.31,18556.8,Yes,High School,Female,745.0,Employed
30.0,59479.76,12307.99,Yes,Bachelors,Male,661.0,Employed
33.0,69859.37,12033.81,Yes,Bachelors,Male,704.0,Self-Employed
49.0,86518.34,17264.87,No,PhD,Female,642.0,Employed
54.0,65929.89,17142.79,Yes,Bachelors,Female,,Employed
53.0,81951.64,17280.19,Yes,Masters,Male,,Self-Employed
46.0,74699.8,18284.7,Yes,PhD,Male,721.0,Employed
35.0,76341.57,14715.32,Yes,PhD,Male,694.0,Self-Employed
6.0,83230.83,7755.75,No,Bachelors,Female,722.0,Employed
41.0,64103.44,25413.53,Yes,Masters,Female,693.0,Employed
38.0,51109.78,13045.4,No,Bachelors,Female,,Employed
39.0,79487.91,11435.97,Yes,Masters,Female,702.0,Employed
39.0,67351.92,8925.74,Yes,PhD,Male,775.0,Employed
25.0,61037.78,15758.43,No,Bachelors,Male,696.0,Self-Employed
44.0,80527.71,15178.5,Yes,Masters,Male,749.0,Employed
44.0,95546.94,14398.4,Yes,Bachelors,Male,716.0,Employed
45.0,66908.43,,Yes,PhD,Male,658.0,Employed
47.0,70168.99,18292.87,No,Bachelors,Female,797.0,Employed
44.0,46364.66,9911.57,Yes,PhD,Male,808.0,Employed
34.0,65546.11,25369.41,Yes,Masters,Male,716.0,Unemployed
37.0,74425.81,7423.73,No,Bachelors,Female,709.0,Employed
39.0,69591.12,14421.26,Yes,PhD,Female,767.0,Unemployed
39.0,62756.88,11348.89,Yes,Bachelors,Male,718.0,Unemployed
48.0,84516.83,16852.4,No,Masters,Male,755.0,Employed
44.0,71160.15,18180.69,Yes,High School,Male,732.0,Employed
59.0,121776.06,,No,Bachelors,Male,728.0,Unemployed
60.0,74154.39,20252.27,Yes,High School,Male,687.0,Employed
39.0,,15995.34,No,Bachelors,Female,690.0,Employed
-0.0,47759.37,22305.02,Yes,Bachelors,Male,773.0,Employed
50.0,80642.39,19645.38,Yes,Bachelors,Male,792.0,Employed
33.0,,12643.75,Yes,Bachelors,Female,728.0,Employed
30.0,58375.39,20275.86,Yes,Masters,Male,784.0,Self-Employed
34.0,45215.4,11773.78,Yes,High School,Female,681.0,Employed
34.0,60465.35,18132.52,No,Bachelors,Female,747.0,Employed
44.0,73878.56,17632.46,No,Bachelors,Female,707.0,Self-Employed
22.0,77716.71,12414.81,Yes,Masters,Female,721.0,Employed
27.0,49602.09,5028.34,Yes,Bachelors,Female,708.0,Employed
41.0,86108.12,22388.56,Yes,High School,Female,709.0,Employed
44.0,46172.62,17094.19,Yes,Bachelors,Male,589.0,Employed
44.0,78759.12,15102.76,Yes,Bachelors,Female,656.0,Employed
30.0,76740.94,15093.68,Yes,Bachelors,Male,632.0,Self-Employed
28.0,51312.84,19873.88,Yes,PhD,Male,696.0,Employed
33.0,48933.69,25926.38,Yes,Bachelors,Female,667.0,Employed
40.0,77645.81,19513.74,Yes,Bachelors,Female,633.0,Unemployed
53.0,58802.35,16837.79,Yes,Bachelors,Female,669.0,Employed
18.0,66190.01,16429.83,Yes,Bachelors,Male,709.0,Employed
36.0,83746.72,16820.15,Yes,Masters,Female,869.0,Self-Employed
25.0,79582.74,9981.07,Yes,Bachelors,Male,713.0,Employed
21.0,51681.11,17925.16,No,Bachelors,Male,701.0,Employed
48.0,68928.42,8447.06,No,Masters,Male,650.0,Employed
43.0,51305.7,17209.39,No,High School,Female,665.0,Unemployed
42.0,1400598.056378007,12641.91,No,Masters,Female,763.0,Employed
47.0,100730.34,19328.69,No,Bachelors,Male,791.0,Employed
,53098.09,16903.39,No,Bachelors,Female,674.0,Unemployed
34.0,69376.66,13245.99,Yes,PhD,Female,728.0,Self-Employed
60.0,88349.22,9947.34,Yes,High School,Male,848.0,Employed
36.0,70484.22,22380.96,Yes,Masters,Female,815.0,Employed
45.0,81230.11,14568.18,Yes,High School,Male,732.0,Self-Employed
38.0,71032.13,23699.14,Yes,Bachelors,Male,672.0,Employed
20.0,48863.93,8844.59,Yes,Masters,Male,670.0,Employed
18.0,72378.5,13735.33,Yes,PhD,Male,613.0,Employed
32.0,92545.67,3746.58,Yes,Bachelors,Female,719.0,Employed
49.0,76285.84,18781.22,Yes,Masters,Male,808.0,Self-Employed
46.0,102473.49,19190.9,No,Masters,Female,685.0,Employed
47.0,34569.92,11974.5,Yes,Bachelors,Female,706.0,Employed
28.0,77580.95,11728.15,Yes,Masters,Male,716.0,Employed
54.0,,13057.85,Yes,Masters,Female,721.0,Employed
,52487.38,13800.59,Yes,PhD,Male,675.0,Employed
40.0,96688.37,12202.51,Yes,High School,Male,712.0,Employed
38.0,64899.9,20404.59,No,High School,Male,736.0,Employed
36.0,62969.09,12655.75,Yes,Bachelors,Female,743.0,Unemployed
51.0,76871.52,5518.4,No,Masters,Female,737.0,Employed
31.0,26949.63,13725.7,Yes,High School,Female,680.0,Employed
25.0,97097.32,12437.93,Yes,High School,Female,717.0,Self-Employed
38.0,108088.61,8460.97,No,Bachelors,Female,736.0,Employed
34.0,88302.27,15945.5,Yes,Bachelors,Male,772.0,Employed
72.0,78239.79,5369.74,Yes,Bachelors,Male,746.0,Employed
45.0,65668.49,16904.38,Yes,High School,Male,,Self-Employed
34.0,48495.75,14834.73,No,Masters,Female,723.0,Employed
27.0,93881.28,12183.26,Yes,High School,Female,740.0,Self-Employed
19.0,88326.83,9270.42,Yes,Bachelors,Female,744.0,Employed
28.0,79002.33,7683.14,Yes,Bachelors,Male,751.0,Employed
39.0,76672.58,19408.51,Yes,Bachelors,Male,747.0,Unemployed
52.0,76011.85,13502.63,Yes,Bachelors,Female,,Self-Employed
49.0,59481.27,6606.45,Yes,Masters,Male,669.0,Employed
40.0,120023.38,14941.06,Yes,PhD,Male,779.0,Employed
35.0,64287.53,13634.06,Yes,Bachelors,Male,671.0,Employed
41.0,61465.92,22064.87,No,Bachelors,Male,735.0,Self-Employed
33.0,92412.13,12940.26,Yes,Bachelors,Male,689.0,Employed
55.0,69415.88,19897.01,No,Bachelors,Male,769.0,Employed
36.0,69620.11,13906.12,No,Masters,Female,774.0,Employed
37.0,98291.39,9091.86,Yes,Bachelors,Male,674.0,Unemployed
16.0,83572.3,17357.73,Yes,Masters,Male,755.0,Employed
36.0,84588.37,21088.06,Yes,Bachelors,Male,763.0,Self-Employed
46.0,41645.79,19534.45,No,PhD,Female,749.0,Self-Employed
27.0,78010.8,16569.81,Yes,Bachelors,Male,708.0,Employed
30.0,49887.84,19986.43,Yes,PhD,Female,634.0,Self-Employed
46.0,60900.12,15851.63,Yes,Masters,Female,778.0,Employed
23.0,73512.83,15409.61,Yes,Masters,Female,689.0,Employed
49.0,69275.8,7636.95,No,Masters,Male,709.0,Employed
33.0,83084.37,,Yes,Masters,Female,743.0,Employed
34.0,85413.99,22539.76,Yes,Masters,Female,669.0,Unemployed
27.0,86912.68,6819.91,Yes,Bachelors,Male,664.0,Self-Employed
42.0,43115.98,8439.14,Yes,High School,Male,677.0,Unemployed
63.0,117253.17,13364.59,Yes,Masters,Female,674.0,Employed
46.0,69508.42,8221.39,Yes,Bachelors,Male,665.0,Employed
29.0,94258.67,18421.4,No,Bachelors,Male,720.0,Employed
49.0,19713.74,6362.29,Yes,High School,Female,731.0,Unemployed
35.0,64693.42,18402.98,Yes,Bachelors,Male,685.0,Employed
52.0,40786.36,20021.71,No,Bachelors,Male,723.0,Employed
46.0,52772.69,18284.51,No,High School,Female,583.0,Employed
9.0,71011.12,15102.18,Yes,High School,Male,735.0,Employed
28.0,63305.01,17671.36,Yes,Bachelors,Male,723.0,Employed
47.0,96280.34,9223.49,No,High School,Female,775.0,Self-Employed
40.0,,16298.56,Yes,Masters,Female,739.0,Employed
28.0,50663.32,11908.03,Yes,Bachelors,Female,747.0,Employed
32.0,60244.7,19453.86,No,High School,Male,685.0,Employed
19.0,49378.24,18551.15,No,High School,Male,632.0,Employed
37.0,93118.0,10948.08,Yes,Bachelors,Female,719.0,Employed
60.0,73180.87,16758.29,Yes,Masters,Male,643.0,Employed
46.0,70646.62,16965.58,No,Bachelors,Male,723.0,Self-Employed
60.0,76249.33,12629.63,Yes,Bachelors,Male,744.0,Employed
47.0,63776.58,15112.28,Yes,Bachelors,Female,715.0,Employed
48.0,52870.6,17557.7,Yes,High School,Male,671.0,Employed
58.0,71021.1,12716.46,Yes,Bachelors,Male,807.0,Employed
42.0,,10570.71,Yes,Bachelors,Female,705.0,Employed
36.0,76940.48,16139.22,Yes,Masters,Male,770.0,Self-Employed
48.0,37360.43,22416.95,Yes,Bachelors,Female,797.0,Employed
53.0,73727.17,14237.12,Yes,Bachelors,Male,785.0,Employed
33.0,56215.08,13239.12,Yes,High School,Female,754.0,Employed
31.0,73026.1,11036.95,No,PhD,Female,807.0,Employed
39.0,88101.79,20750.38,Yes,Bachelors,Male,738.0,Self-Employed
46.0,58875.04,19375.95,No,PhD,Male,770.0,Employed
46.0,93934.41,14268.9,Yes,Bachelors,Male,731.0,Employed
24.0,35184.75,11063.11,Yes,Bachelors,Female,677.0,Employed
57.0,100876.58,11016.82,Yes,High School,Female,729.0,Employed
32.0,94769.88,10722.85,Yes,Masters,Male,648.0,Employed
35.0,52268.21,12533.67,Yes,Bachelors,Male,725.0,Employed
29.0,52435.49,12196.15,Yes,Masters,Female,701.0,Self-Employed
65.0,40100.88,11309.57,Yes,Masters,Female,764.0,Employed
40.0,88427.58,20575.64,No,Bachelors,Male,788.0,Unemployed
29.0,63391.78,22926.32,Yes,Bachelors,Female,666.0,Self-Employed
47.0,61924.6,9553.39,No,Masters,Female,740.0,Employed
46.0,47543.7,12143.25,Yes,Bachelors,Male,741.0,Employed
36.0,106239.48,10260.47,No,Bachelors,Male,786.0,Employed
46.0,50544.78,16592.42,No,Bachelors,Female,765.0,Employed
30.0,70483.32,13301.01,No,Masters,Male,776.0,Unemployed
33.0,74319.39,9846.88,Yes,Bachelors,Male,740.0,Unemployed
18.0,62026.58,23263.06,No,Masters,Female,659.0,Self-Employed
